partition,date,hour
2020-02-17,2020-03-30,17:14
2020-02-18,2020-03-30,17:15
2020-02-19,2020-03-30,17:16
2020-02-20,2020-03-30,17:25
2020-02-21,2020-03-30,17:30
2020-02-24,2020-02-25,02:05
2020-02-25,2020-02-26,17:34
2020-02-26,2020-02-27,01:30
2020-02-27,2020-02-28,01:08
2020-02-28,2020-02-29,01:29
2020-03-02,2020-03-03,05:48
2020-03-03,2020-03-05,18:23
2020-03-04,2020-03-05,02:41
2020-03-05,2020-03-06,02:40
2020-03-06,2020-03-07,23:46
2020-03-09,2020-03-10,01:38
2020-03-10,2020-03-11,00:50
2020-03-11,2020-03-12,00:57
2020-03-12,2020-03-13,03:40
2020-03-13,2020-03-16,14:51
2020-03-16,2020-03-17,01:07
2020-03-17,2020-03-18,10:19
2020-03-18,2020-03-19,07:34
2020-03-19,2020-03-20,01:13
2020-03-20,2020-03-21,00:53
2020-03-23,2020-03-24,01:08
2020-03-24,2020-03-25,20:45
2020-03-25,2020-03-26,17:59
2020-03-26,2020-03-27,17:54
2020-03-27,2020-03-28,01:40
2020-03-30,2020-03-30,23:49
2020-03-31,2020-04-01,00:12
2020-04-01,2020-04-02,09:35
2020-04-02,2020-04-02,23:52
2020-04-03,2020-04-06,07:24
2020-04-06,2020-04-07,01:53
2020-04-07,2020-04-07,23:54
2020-04-08,2020-04-09,00:12
2020-04-09,2020-04-09,23:56
2020-04-13,2020-04-13,23:56
2020-04-14,2020-04-14,23:56
2020-04-15,2020-04-15,23:49
2020-04-16,2020-04-17,00:00
2020-04-17,2020-04-17,23:55
2020-04-20,2020-04-21,01:55
2020-04-21,2020-04-21,23:54
2020-04-22,2020-04-22,23:46
2020-04-23,2020-04-24,00:29
2020-04-24,2020-04-24,23:53
2020-04-27,2020-04-27,23:53
2020-04-28,2020-04-28,23:46
2020-04-29,2020-04-30,00:24
2020-04-30,2020-05-01,02:46
2020-05-04,2020-05-05,02:50
2020-05-05,2020-05-06,00:34
2020-05-06,2020-05-07,20:22
2020-05-07,2020-05-08,00:29
2020-05-08,2020-05-09,00:42
2020-05-11,2020-05-11,23:58
2020-05-12,2020-05-12,23:52
2020-05-13,2020-05-14,19:19
2020-05-14,2020-05-14,23:45
2020-05-15,2020-05-18,15:01
2020-05-18,2020-05-19,00:16
2020-05-19,2020-05-19,23:58
2020-05-20,2020-05-20,23:56
2020-05-21,2020-05-22,01:53
2020-05-22,2020-05-23,01:13
2020-05-25,2020-05-25,23:43
2020-05-26,2020-05-26,23:42
2020-05-27,2020-05-27,23:51
2020-05-28,2020-05-29,00:10
2020-05-29,2020-05-30,00:11
2020-06-01,2020-06-02,01:45
2020-06-02,2020-06-03,00:31
2020-06-03,2020-06-04,00:36
2020-06-04,2020-06-05,20:12
2020-06-05,2020-06-06,04:43
2020-06-08,2020-06-09,16:41
2020-06-09,2020-06-10,01:15
2020-06-10,2020-06-11,00:02
2020-06-11,2020-06-11,23:49
2020-06-12,2020-06-15,06:09
2020-06-15,2020-06-16,10:30
2020-06-16,2020-06-17,12:52
2020-06-17,2020-06-18,23:45
2020-06-18,2020-06-19,00:17
2020-06-19,2020-06-19,23:59
2020-06-22,2020-06-22,23:43
