partition,date,hour
2020-02-11,2020-07-02,09:27
2020-02-12,2020-07-02,10:39
2020-02-13,2020-07-02,14:59
2020-02-14,2020-07-02,16:27
2020-02-17,2020-07-02,17:45
2020-02-18,2020-07-02,18:57
2020-02-19,2020-07-02,19:34
2020-02-20,2020-07-02,20:08
2020-02-21,2020-07-02,20:49
2020-02-24,2020-07-02,21:17
2020-02-25,2020-07-02,21:47
2020-02-26,2020-07-02,22:16
2020-02-27,2020-07-02,22:48
2020-02-28,2020-07-02,23:22
2020-03-02,2020-03-31,16:19
2020-03-03,2020-03-31,16:21
2020-03-04,2020-03-31,16:34
2020-03-05,2020-03-31,16:31
2020-03-06,2020-03-31,16:32
2020-03-09,2020-03-31,17:05
2020-03-10,2020-06-15,14:53
2020-03-11,2020-06-15,14:54
2020-03-12,2020-06-15,14:54
2020-03-13,2020-06-15,14:55
2020-03-16,2020-06-15,14:55
2020-03-17,2020-06-15,14:55
2020-03-18,2020-06-15,14:55
2020-03-19,2020-06-15,14:56
2020-03-20,2020-06-15,14:56
2020-03-23,2020-06-15,14:56
2020-03-24,2020-06-15,14:57
2020-03-25,2020-06-15,14:57
2020-03-26,2020-06-15,14:57
2020-03-27,2020-06-15,14:57
2020-03-30,2020-06-15,14:58
2020-03-31,2020-06-15,14:58
2020-04-01,2020-06-15,14:58
2020-04-02,2020-06-15,14:59
2020-04-03,2020-06-15,14:59
2020-04-06,2020-06-15,14:59
2020-04-07,2020-06-15,14:59
2020-04-08,2020-06-15,15:00
2020-04-09,2020-06-15,15:00
2020-04-13,2020-06-15,15:00
2020-04-14,2020-06-15,15:00
2020-04-15,2020-06-15,15:01
2020-04-16,2020-06-15,15:01
2020-04-17,2020-06-15,15:01
2020-04-20,2020-06-15,15:01
2020-04-21,2020-06-15,15:02
2020-04-22,2020-06-15,15:02
2020-04-23,2020-06-15,15:02
2020-04-24,2020-06-15,15:02
2020-04-27,2020-06-15,15:03
2020-04-28,2020-06-15,15:03
2020-04-29,2020-06-15,15:03
2020-04-30,2020-06-15,15:03
2020-05-04,2020-06-15,15:04
